tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30vpre	039253_7	stm	1	23	20.098	1.26	1.4426803588867188	0.18268035888671874	441	52	3	17	17	4422	531	0.4194908142089844	0.2978019714355469	0.4012908935546875	492.3	113.1	89.8	8.8	12785.9	0.3	1167.6	3838.2	85.8	17.4	36.9	0.0	0.0	0.0	0.3	323.2	715.3	0.419	0.001	0.000	0.000	0.298	0.000	0.001	0.401	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.026
d30vpre	039253_8	stm	1	40	36.942	2.44	2.441720962524414	0.0017209625244141158	568	49	13	25	25	7791	745	0.6829719543457031	0.3932456970214844	0.9211235046386719	861.3	170.9	131.1	13.2	19630.9	0.3	2746.1	10349.6	154.7	85.5	161.3	0.0	0.0	0.0	0.3	538.5	1151.7	0.683	0.000	0.000	0.000	0.393	0.000	0.109	0.921	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30vpre	039253_9	stm	1	37	32.885	1.89	1.9515419006347656	0.06154190063476572	517	47	4	14	14	4444	596	0.5911979675292969	0.5401725769042969	0.43363189697265625	654.5	138.5	111.8	11.1	19328.3	0.3	3690.6	6711.3	133.5	5.3	45.1	0.0	0.0	0.0	0.3	340.9	970.8	0.591	0.000	0.001	0.000	0.540	0.000	0.001	0.434	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.066
d30vpre	039349_0	stm	1	14	8.303	0.59	0.9023590087890625	0.31235900878906253	231	29	3	12	12	3317	1017	0.18954849243164062	0.16823196411132812	0.20797348022460938	268.0	51.2	41.5	4.0	4587.6	0.2	495.6	1981.7	43.2	2.2	19.4	0.0	0.0	0.0	0.1	233.3	372.5	0.190	0.000	0.000	0.000	0.168	0.000	0.000	0.208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.041
d30vpre	039349_10	stm	1	19	12.385	1.07	1.1487102508544922	0.07871025085449213	276	24	3	7	7	2873	882	0.3189048767089844	0.22535324096679688	0.18517684936523438	366.3	76.4	61.3	6.4	7602.3	0.2	1029.3	1999.5	76.8	2.8	20.1	0.0	0.0	0.0	0.2	229.4	560.7	0.319	0.000	0.000	0.000	0.225	0.000	0.025	0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.099
d30vpre	039349_11	stm	1	12	9.57	0.61	0.9243240356445312	0.31432403564453126	183	24	6	11	11	3098	538	0.18937301635742188	0.17348098754882812	0.21912765502929688	232.4	52.4	42.8	4.3	5219.7	0.2	776.8	2286.7	51.1	1.3	11.5	0.0	0.0	0.0	0.1	253.5	370.8	0.189	0.001	0.000	0.000	0.173	0.000	0.013	0.219	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.032
d30vpre	039349_12	stm	1	12	10.714	0.96	0.96	0.0	215	30	8	15	15	3191	460	0.21832656860351562	0.3435249328613281	0.07475662231445312	265.3	59.1	49.8	5.0	6072.6	0.2	935.9	2347.4	53.0	9.3	25.4	0.0	0.0	0.0	0.2	246.7	403.4	0.218	0.001	0.000	0.000	0.344	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.023
d30vpre	039349_13	stm	1	10	6.664	0.84	0.84	0.0	190	28	5	11	11	2965	495	0.17611312866210938	0.15339279174804688	0.1666259765625	227.5	48.6	38.9	3.5	3456.4	0.2	285.9	1726.9	48.5	1.6	6.3	0.0	0.0	0.0	0.1	234.9	377.7	0.176	0.002	0.000	0.000	0.153	0.000	0.000	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.046
d30vpre	039349_14	stm	1	18	8.862	0.67	0.9632301330566406	0.2932301330566406	185	31	1	9	9	2607	589	0.2469482421875	0.17534637451171875	0.17633056640625	323.6	66.2	51.3	4.6	5361.8	0.2	458.8	1592.2	60.8	6.4	16.5	0.0	0.0	0.0	0.2	244.5	443.3	0.247	0.000	0.000	0.000	0.175	0.000	0.001	0.176	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.065
d30vpre	039349_15	stm	1	18	9.968	0.71	0.9888744354248047	0.2788744354248047	204	32	8	14	14	3744	905	0.24374771118164062	0.174591064453125	0.213592529296875	291.3	61.9	49.6	4.3	5640.6	0.2	511.5	2156.4	62.2	13.5	196.0	0.0	0.0	0.0	0.2	246.6	458.4	0.244	0.000	0.000	0.000	0.175	0.000	0.009	0.214	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.152	0.052
