sample	group	stage	n_events	rc	wall_s	maxrss_kb
mcp2k	g12	clus+QL	16	0	73.0	509972.0
mcp2k	g120	imaging	16	0	120.0	952892.0
mcp2k	g120	clus+QL	16	0	83.0	590856.0
mcp2k	g121	imaging	16	0	100.0	943748.0
mcp2k	g121	clus+QL	16	0	63.0	524500.0
mcp2k	g122	imaging	16	0	90.0	954604.0
mcp2k	g122	clus+QL	16	0	55.0	552720.0
mcp2k	g123	imaging	16	0	93.0	949004.0
mcp2k	g123	clus+QL	16	0	55.0	476736.0
mcp2k	g124	imaging	16	0	96.0	949712.0
mcp2k	g124	clus+QL	16	0	60.0	501088.0
mcp2k	g125	imaging	8	0	55.0	954448.0
mcp2k	g125	clus+QL	8	0	35.0	527504.0
mcp2k	g13	imaging	16	0	108.0	955324.0
mcp2k	g13	clus+QL	16	0	70.0	501828.0
mcp2k	g14	imaging	16	0	111.0	947772.0
mcp2k	g14	clus+QL	16	0	74.0	551044.0
mcp2k	g15	imaging	16	0	120.0	967004.0
mcp2k	g15	clus+QL	16	0	73.0	568960.0
mcp2k	g16	imaging	16	0	119.0	957368.0
mcp2k	g16	clus+QL	16	0	120.0	614664.0
mcp2k	g17	imaging	16	0	117.0	977024.0
mcp2k	g17	clus+QL	16	0	122.0	506912.0
mcp2k	g18	imaging	16	0	132.0	974196.0
mcp2k	g18	clus+QL	16	0	159.0	588600.0
mcp2k	g19	imaging	16	0	108.0	971076.0
mcp2k	g19	clus+QL	16	0	115.0	576100.0
mcp2k	g2	imaging	16	0	99.0	971888.0
mcp2k	g2	clus+QL	16	0	63.0	456932.0
mcp2k	g20	imaging	16	0	114.0	945676.0
mcp2k	g20	clus+QL	16	0	128.0	508700.0
mcp2k	g21	imaging	16	0	107.0	948552.0
mcp2k	g21	clus+QL	16	0	131.0	548704.0
mcp2k	g22	imaging	16	0	123.0	970876.0
mcp2k	g22	clus+QL	16	0	137.0	551540.0
mcp2k	g23	imaging	16	0	116.0	951012.0
mcp2k	g23	clus+QL	16	0	134.0	513112.0
mcp2k	g24	imaging	16	0	139.0	952900.0
mcp2k	g24	clus+QL	16	0	159.0	532576.0
mcp2k	g25	imaging	16	0	115.0	951172.0
mcp2k	g25	clus+QL	16	0	113.0	550368.0
mcp2k	g26	imaging	16	0	134.0	952424.0
mcp2k	g26	clus+QL	16	0	139.0	493900.0
mcp2k	g27	imaging	16	0	117.0	953044.0
mcp2k	g27	clus+QL	16	0	124.0	527864.0
mcp2k	g28	imaging	16	0	122.0	955020.0
mcp2k	g28	clus+QL	16	0	124.0	536392.0
mcp2k	g29	imaging	16	0	139.0	975200.0
mcp2k	g29	clus+QL	16	0	144.0	553964.0
mcp2k	g3	imaging	16	0	113.0	947792.0
mcp2k	g3	clus+QL	16	0	81.0	568528.0
mcp2k	g30	imaging	16	0	129.0	970208.0
mcp2k	g30	clus+QL	16	0	149.0	568164.0
mcp2k	g31	imaging	16	0	135.0	955156.0
mcp2k	g31	clus+QL	16	0	134.0	501488.0
mcp2k	g32	imaging	16	0	118.0	955372.0
mcp2k	g32	clus+QL	16	0	124.0	516152.0
mcp2k	g33	imaging	16	0	126.0	951200.0
mcp2k	g33	clus+QL	16	0	119.0	496656.0
mcp2k	g34	imaging	16	0	106.0	967952.0
mcp2k	g34	clus+QL	16	0	109.0	484596.0
mcp2k	g35	imaging	16	0	120.0	956320.0
mcp2k	g35	clus+QL	16	0	119.0	526452.0
mcp2k	g36	imaging	16	0	111.0	946160.0
mcp2k	g36	clus+QL	16	0	110.0	523828.0
mcp2k	g37	imaging	16	0	123.0	944620.0
mcp2k	g37	clus+QL	16	0	85.0	573260.0
mcp2k	g38	imaging	16	0	139.0	950200.0
mcp2k	g38	clus+QL	16	0	93.0	611140.0
mcp2k	g39	imaging	16	0	133.0	949288.0
mcp2k	g39	clus+QL	16	0	93.0	528544.0
mcp2k	g4	imaging	16	0	109.0	953884.0
mcp2k	g4	clus+QL	16	0	71.0	495996.0
mcp2k	g40	imaging	16	0	115.0	949820.0
mcp2k	g40	clus+QL	16	0	79.0	578760.0
mcp2k	g41	imaging	16	0	109.0	952896.0
mcp2k	g41	clus+QL	16	0	70.0	539052.0
mcp2k	g42	imaging	16	0	106.0	950732.0
mcp2k	g42	clus+QL	16	0	69.0	524828.0
mcp2k	g43	imaging	16	0	103.0	952256.0
mcp2k	g43	clus+QL	16	0	61.0	499856.0
