# doc pdhd/10 d10_coverage.py det=pdhd status=0 files=61
det	event	run	block	apa	npts	L	status	wire_med	frac_hi96	hit_u	pres_u	cov_u	covch_u	qhit_u	qpt_u	qpcm_u	hit_v	pres_v	cov_v	covch_v	qhit_v	qpt_v	qpcm_v	hit_w	pres_w	cov_w	covch_w	qhit_w	qpt_w	qpcm_w
pdhd	029107_21_d30hpost	029107	1100	3	242	146.329	0	374	0	74	140	0.305785	0.578512	4.31014e+06	58245.2	29455.2	15	141	0.0619835	0.582645	217758	14517.2	1488.14	18	53	0.0743802	0.219008	78924	4384.67	539.362
pdhd	029107_21_d30hpost	029107	1220	3	72	43.3356	0	440.5	0	5	27	0.0694444	0.375	29896	5979.2	689.872	4	29	0.0555556	0.402778	10573	2643.25	243.98	2	15	0.0277778	0.208333	18423	9211.5	425.124
pdhd	029107_22_d30hpost	029107	520	2	94	55.9804	0	898	1	8	80	0.0851064	0.851064	41043	5130.38	733.167	12	78	0.12766	0.829787	32091	2674.25	573.254	3	32	0.0319149	0.340426	9165	3055	163.718
pdhd	029107_22_d30hpost	029107	1200	3	79	47.6642	0	391	0	12	17	0.151899	0.21519	43537	3628.08	913.411	4	4	0.0506329	0.0506329	20086	5021.5	421.407	5	5	0.0632911	0.0632911	16007	3201.4	335.829
pdhd	029107_22_d30hpost	029107	1220	3	443	285.604	0	355	0	417	418	0.941309	0.943567	2.25858e+07	54162.6	79080.8	419	443	0.945824	1	2.07373e+07	49492.3	72608.4	417	443	0.941309	1	1.31305e+07	31488.1	45974.6
pdhd	029107_23_d30hpost	029107	280	0	93	56.0467	0	547	0	22	70	0.236559	0.752688	185142	8415.55	3303.35	29	49	0.311828	0.526882	390183	13454.6	6961.75	61	92	0.655914	0.989247	490588	8042.43	8753.2
pdhd	029107_23_d30hpost	029107	350	0	204	126.712	0	534	0	194	204	0.95098	1	4.13271e+06	21302.6	32614.9	173	185	0.848039	0.906863	4.0526e+06	23425.4	31982.7	148	204	0.72549	1	2.39606e+06	16189.6	18909.5
pdhd	029107_23_d30hpost	029107	421	2	656	394.755	0	933	1	121	578	0.184451	0.881098	553747	4576.42	1402.76	126	606	0.192073	0.92378	482342	3828.11	1221.88	72	576	0.109756	0.878049	153658	2134.14	389.249
pdhd	029107_23_d30hpost	029107	1081	1	569	368.018	0	240	0	568	568	0.998243	0.998243	2.31181e+07	40700.8	62817.7	569	569	1	1	5.40056e+07	94913.1	146747	569	569	1	1	1.18094e+07	20754.7	32089.2
pdhd	029107_23_d30hpost	029107	1081	3	599	387.422	0	115	0	599	599	1	1	2.50652e+07	41845.1	64697.6	599	599	1	1	3.13773e+07	52382.8	80990.1	598	599	0.998331	1	1.50016e+07	25086.2	38721.6
