arm	cid	ident	apa	face	nnew	norig	ncomp	ncomp_ss	nsup	legacy_rm	run_rm	nruns	maxrun_cm
029107_12_d07bb	75	75	1	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	76	76	1	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	77	77	1	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	78	78	3	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	79	79	3	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	80	80	3	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	81	81	3	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	82	82	3	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	83	83	3	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	84	84	3	1	3	3	1	1	3	0	0	0	0.0
029107_12_d07bb	86	86	3	1	61	59	1	1	59	0	0	1	0.5
029107_12_d07bb	87	87	1	1	289	213	13	13	204	72	0	8	1.3
029107_12_d07bb	90	90	1	1	746	556	19	19	552	23	129	11	42.8
029107_12_d07bb	91	91	1	1	21	22	2	2	18	0	0	3	0.0
029107_12_d07bb	93	93	1	1	7	9	3	3	7	0	0	0	0.0
029107_12_d07bb	95	95	1	1	475	242	22	22	254	54	76	54	26.9
029107_12_d07bb	98	98	1	1	64	4	1	1	5	0	59	1	28.1
029107_12_d07bb	98	98	3	1	1010	569	100	100	555	334	78	19	38.0
029107_12_d07bb	100	100	1	1	2	2	1	1	2	0	0	0	0.0
029107_12_d07bb	102	102	1	1	480	449	31	31	391	43	0	39	0.6
029107_12_d07bb	103	103	1	1	136	174	4	4	120	3	0	10	0.6
029107_12_d07bb	103	103	3	1	1053	850	37	37	824	116	0	88	5.7
029107_12_d07bb	105	105	1	1	293	251	18	18	243	26	0	18	3.0
029107_12_d07bb	106	106	1	1	9	7	1	1	9	0	0	0	0.0
029107_12_d07bb	108	108	3	1	1306	680	92	92	710	252	202	38	65.1
029107_12_d07bb	110	110	3	1	1550	522	48	48	444	189	590	40	25.9
029107_12_d07bb	112	112	3	1	414	152	22	22	159	108	64	25	43.6
029107_12_d07bb	115	115	3	1	143	116	6	6	122	4	0	16	0.4
029107_12_d07bb	117	117	3	1	1098	78	13	13	72	23	819	16	64.4
029107_12_d07bb	118	118	3	1	151	158	4	4	143	4	0	4	0.0
029107_12_d07bb	120	120	3	1	193	49	10	10	40	17	117	5	38.0
029107_12_d07bb	122	122	3	1	650	388	69	69	359	268	0	17	1.6
029107_12_d07bb	123	123	3	1	69	60	4	4	60	6	0	3	0.0
029107_12_d07bb	125	125	3	1	7	9	1	1	6	0	0	1	0.0
029107_12_d07bb	127	127	0	0	3154	1562	216	216	1367	1109	491	104	79.5
029107_12_d07bb	127	127	1	1	915	566	39	39	442	108	254	19	79.8
029107_12_d07bb	127	127	2	0	4	3	1	1	4	0	0	0	0.0
029107_12_d07bb	127	127	3	1	336	301	14	14	266	39	0	5	16.9
029107_12_d07bb	128	128	0	0	4041	1798	355	355	1589	2024	209	108	28.9
029107_12_d07bb	128	128	2	0	845	496	48	48	449	303	0	42	12.3
029107_12_d07bb	128	128	3	1	1870	399	190	190	367	1143	256	29	92.1
029107_12_d07bb	129	129	2	0	1079	246	74	74	251	436	341	14	89.5
029107_12_d07bb	129	129	3	1	912	501	28	28	437	55	286	41	89.9
029107_12_d07bb	130	130	2	0	1895	307	5	5	313	7	1565	11	262.7
029107_12_d07bb	130	130	3	1	1154	306	3	3	308	3	832	12	261.0
029107_12_d07bb	10	10	2	0	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	28	28	0	0	96	94	1	1	96	0	0	0	0.0
029107_12_d07bb	35	35	0	0	1861	1157	183	183	1219	458	0	35	19.5
029107_12_d07bb	37	37	0	0	45	34	5	5	38	4	0	3	0.0
