# doc pdvd/50 r2 d51_dqdx_rr_apa.py det=pdvd ref=stm/pdvd_ref_dqdx_045.json status=5 max_abs_x=305 low_thr=21586 (0.40 x plateau 53965.5) complete_max_flow=0.05 files=120
det	event	block	cluster	status	npts	nkept	ngood	length	len_kept	pts_per_cm	kink	exit_L	left_L	has_left	f_low	rrmin	rrmax	reach	nbins	contrast	k_muon	shape_muon	k_proton	shape_proton	best	med_chi2	doc55	complete	n_u0	n_u1	med_0_1	med_1_2	med_2_3	med_3_5	med_5_7	med_7_10	med_10_15	med_15_20	med_20_30	med_30_40	med_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
pdvd	039349_53_d51vstm	240	24	5	550	550	497	351.7050	351.7050	1.4131	550	352.3050	0.0000	0	0.1167	0.0000	318.9966	1	8	0.8512	0.7771	0.4686	0.4700	0.4613	proton	1.9472	0	0	497	0	nan	nan	nan	48093	79909	123638	57161	51294	17499	51142	43755	2	1	2	3	3	5	7	7	16	15	32
pdvd	039349_5_d51vstm	260	26	5	170	170	170	108.0335	108.0335	1.5736	170	108.6335	0.0000	0	0.0235	0.0000	108.0335	1	8	1.5450	0.8440	0.1408	0.5105	0.1655	muon	1.8874	0	1	170	0	nan	nan	nan	70892	49645	57621	67889	56185	56867	50984	47095	2	1	2	4	3	5	7	7	16	15	31
pdvd	039349_5_d51vstm	550	55	5	224	224	224	143.3343	143.3343	1.5628	224	143.9343	0.0000	0	0.0312	0.0000	143.3343	1	8	3.0438	0.8081	0.3742	0.4887	0.3917	muon	1.3678	0	1	0	224	nan	nan	nan	105807	75562	64934	28662	27345	59795	57675	53148	2	2	1	3	4	4	8	8	15	16	31
pdvd	039349_63_d51vstm	580	58	5	126	126	126	81.5906	81.5906	1.5443	126	82.1906	0.0000	0	0.0238	0.0000	81.5906	1	8	1.9556	0.8082	0.4238	0.4888	0.4409	muon	1.2548	0	1	0	126	nan	nan	nan	23434	71026	72049	66499	60191	57217	52662	51626	2	2	2	3	4	5	8	8	15	15	29
pdvd	039349_71_d51vstm	200	20	5	612	612	612	397.9612	397.9612	1.5378	612	396.2879	0.0000	0	0.0180	0.0000	397.9612	1	8	1.8902	0.9556	0.1962	0.5780	0.2208	muon	1.9092	0	1	612	0	nan	nan	nan	54040	92560	60102	65643	67646	60995	62409	56130	2	2	2	3	3	5	9	8	15	15	31
pdvd	039349_71_d51vstm	630	63	5	994	994	994	659.4131	659.4131	1.5074	994	643.5492	0.0000	0	0.0543	0.0000	659.4131	1	8	2.5954	0.6230	0.5384	0.3768	0.5745	muon	2.2377	0	0	378	616	nan	nan	nan	28112	20514	40879	32731	70815	64317	45972	57592	2	2	1	3	3	5	7	8	15	17	30
pdvd	039349_72_d51vstm	430	43	5	538	538	148	346.8350	346.8350	0.4267	538	345.5129	0.0000	0	0.1014	0.0000	95.4756	1	8	2.6801	0.7606	0.8070	0.4600	0.8152	muon	3.2470	0	0	0	148	nan	nan	nan	93106	83673	92167	6227	64259	65449	57339	42632	2	1	2	3	3	5	8	8	15	16	29
pdvd	039349_74_d51vstm	610	61	5	85	85	85	52.0817	52.0817	1.6321	85	52.6817	0.0000	0	0.2235	0.0000	52.0817	1	8	0.0576	0.6431	0.9957	0.3890	1.0234	muon	5.2957	0	0	0	85	nan	nan	nan	7134	33810	64664	18745	76654	133773	66840	59917	2	2	1	3	4	5	9	7	15	15	22
pdvd	039349_74_d51vstm	630	63	5	73	73	71	67.8910	67.8910	1.0458	73	68.4910	0.0000	0	0.2817	0.0000	67.8910	1	7	4.9145	0.4947	0.3187	0.2986	0.3594	muon	2.7726	0	0	0	71	nan	nan	nan	38749	25686	36229	44475	21515	nan	31787	45722	2	1	2	3	3	5	8	7	2	15	14
pdvd	039349_75_d51vstm	150	15	5	42	42	2	34.3148	34.3148	0.0583	42	34.9148	0.0000	0	0.0000	0.0000	0.5247	0	0	nan	nan	nan	nan	nan	none	2.0512	0	0	2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2	0	0	0	0	0	0	0	0	0	0
pdvd	039349_75_d51vstm	620	62	5	261	261	261	166.7462	166.7462	1.5653	261	167.3462	0.0000	0	0.0307	0.0000	166.7462	1	8	3.1967	1.3634	0.4427	0.8246	0.4051	proton	1.2412	0	1	0	261	nan	nan	nan	239426	197839	117657	86675	92569	48633	44554	50536	2	1	2	3	3	5	8	8	16	16	34
pdvd	039349_75_d51vstm	630	63	5	674	673	598	430.8487	429.9525	1.3909	672	429.9155	1.4543	1	0.0184	0.0000	381.7889	1	8	0.8997	0.9762	0.1831	0.5904	0.1869	muon	1.3209	0	1	0	598	nan	nan	nan	123566	95480	57119	54125	58618	56053	51011	55314	2	1	2	3	3	4	9	8	14	16	30
pdvd	039349_75_d51vstm	670	67	5	194	194	194	121.7640	121.7640	1.5932	194	122.4038	0.0000	0	0.0103	0.0000	121.7640	1	8	1.6351	0.9916	0.0651	0.5997	0.0585	proton	1.4726	0	1	0	194	nan	nan	nan	92188	78103	73746	65871	63748	61291	60158	46638	2	1	2	3	4	5	7	8	15	16	32
pdvd	039349_75_d51vstm	730	73	5	277	277	214	176.9377	176.9377	1.2095	277	177.5377	0.0000	0	0.0794	40.9348	176.9377	0	1	nan	nan	nan	nan	nan	none	1.7843	0	0	0	214	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	35234	0	0	0	0	0	0	0	0	0	0	30
pdvd	039349_76_d51vstm	540	54	5	108	108	107	69.7506	69.7506	1.5340	108	70.0584	0.0000	0	0.0374	0.0000	69.7506	1	8	0.7647	0.9391	0.4819	0.5680	0.4859	muon	2.1585	0	1	0	107	nan	nan	nan	35333	47029	104943	121068	61107	91367	41419	50803	2	1	2	3	3	5	8	7	15	16	31
pdvd	039349_76_d51vstm	690	69	5	226	226	226	144.6632	144.6632	1.5622	226	145.2632	0.0000	0	0.0177	0.0000	144.6632	1	8	0.7784	0.8305	0.1716	0.5023	0.2056	muon	1.9422	0	1	0	226	nan	nan	nan	84816	47729	49655	52152	60375	54277	51903	52076	2	2	2	3	3	5	8	9	14	17	29
pdvd	039349_83_d51vstm	220	22	5	405	405	405	265.0485	265.0485	1.5280	405	265.6485	0.0000	0	0.0123	0.0000	265.0485	1	7	1.9810	1.1485	0.0535	0.6985	0.0439	proton	1.4775	0	1	405	0	nan	nan	nan	nan	102605	84312	74984	74268	67969	63760	58368	2	1	2	2	3	4	8	6	14	17	30
