sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp1k	18255	1	386332	0	11.481	5.613	13	1194008	0	nu-candidate	10	1	1	1	0	1.845	33.6	8	-156.91794	-60.63095	419.59207	0.64894813	-15.0	1.0	0.0	0.7	0.0	313.31055	1.4458994	0.0	1.4458994	1	13.238247
mcp1k	18255	1	386354	0	7.230	0.836	8	327460	0	cosmic-tagged	4	1	1	0	0																		
mcp1k	18255	1	386442	0	11.142	6.118	12	1168752	0	nu-candidate	10	1	1	1	0	1.324	34.1	19	18.390669	-34.30461	92.66753	-0.40666375	-15.0	1.0	0.0	0.7	0.0	531.31915	2.8007529	0.0	2.8007529	2	28.543756
mcp1k	18255	1	386794	0	6.185	1.030	8	385892	0	cosmic-tagged	11	1	1	0	0																		
mcp1k	18255	1	386816	0	7.031	1.103	7	381952	0	cosmic-tagged	11	1	1	0	0																		
mcp1k	18255	1	386838	0	6.932	0.804	7	328068	0	cosmic-tagged	12	1	1	0	0																		
mcp1k	18255	1	386948	0	17.606	10.552	19	1246676	0	nu-candidate	10	1	1	1	0	0.858	42.8	29	-53.230247	150.8125	332.9326	-1.1214176	1.227634	1.0	0.0	0.7	0.0	1166.7042	0.6019554	0.0	0.6019554	1	399.31653
mcp1k	18255	1	387102	0	10.130	4.086	12	735544	0	cosmic-tagged	12	1	1	1	0	1.672	2.7	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	387168	0	6.093	0.999	8	357256	0	cosmic-tagged	11	1	1	0	0																		
mcp1k	18255	1	387674	0	6.314	1.415	8	448452	0	no-bundle	14	0	1	0	0																		
mcp1k	18255	1	387696	0	5.130	0.935	7	342836	0	cosmic-tagged	8	1	1	0	0																		
mcp1k	18255	1	387850	0	11.497	6.888	13	1298284	0	nu-candidate	13	1	1	1	0	1.265	121.2	2	196.03627	199.91553	82.44815	-1.2366732	-15.0	1.0	1.0	0.7	0.0	592.7151	1.8635678	0.0	1.8635678	1	185.70343
mcp1k	18255	1	388026	0	11.057	8.114	12	1150632	0	nu-candidate	9	1	1	1	0	0.545	282.2	6	-130.04793	99.702225	118.78335	5.3016806	-15.0	1.0	0.0	0.7	0.0	988.24097	8.8993	0.0	8.8993	4	1.8722677
mcp1k	18255	1	388224	0	19.410	15.226	20	1364988	0	nu-candidate	14	1	2	1	0	1.429	198.5	6	-66.67318	-0.24244724	344.75522	4.169902	-15.0	1.0	0.0	0.7	0.0	1162.4983	2.1402755	0.0	2.1402755	1	135.13202
mcp1k	18255	1	388510	0	7.202	1.196	9	411988	0	cosmic-tagged	17	1	1	0	0																		
mcp1k	18255	1	388642	0	7.191	0.939	9	363692	0	no-beam-flash	10	0	0	0	0																		
mcp1k	18255	1	388752	0	7.036	0.777	9	325248	0	cosmic-tagged	11	1	1	0	0																		
mcp1k	18255	1	388884	0	6.912	1.145	7	389256	0	cosmic-tagged	11	1	1	0	0																		
mcp1k	18255	1	388972	0	6.796	0.850	7	359988	0	nu-candidate	11	1	1	0	0																		
mcp1k	18255	1	389214	0	7.022	1.137	8	411036	0	no-bundle	13	0	1	0	0																		
mcp1k	18255	1	389302	0	6.864	0.739	7	335588	0	nu-candidate	9	1	1	0	0																		
mcp1k	18255	1	389544	0	6.869	0.951	7	374360	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	389588	0	11.554	5.347	13	1206772	0	nu-candidate	13	1	1	1	0	0.526	6.1	12	-125.34043	143.16823	94.24095	-0.07189761	-15.0	1.0	0.0	0.7	0.0	132.34505	3.3700337	0.0	3.3700337	4	16.134016
